statement,label,n1,n2,diff,abs_diff
Sixty-three is larger than fifty-seven.,1,63,57,6,6
Sixty-three is larger than fifty-eight.,1,63,58,5,5
Sixty-three is larger than fifty-nine.,1,63,59,4,4
Sixty-three is larger than sixty-one.,1,63,61,2,2
Sixty-three is larger than sixty-two.,1,63,62,1,1
Sixty-three is larger than sixty-four.,0,63,64,-1,1
Sixty-three is larger than sixty-five.,0,63,65,-2,2
Sixty-three is larger than sixty-six.,0,63,66,-3,3
Sixty-three is larger than sixty-seven.,0,63,67,-4,4
Sixty-three is larger than sixty-eight.,0,63,68,-5,5
Sixty-three is larger than sixty-nine.,0,63,69,-6,6
Sixty-three is larger than seventy-one.,0,63,71,-8,8
Sixty-three is larger than seventy-two.,0,63,72,-9,9
Sixty-three is larger than seventy-three.,0,63,73,-10,10
Sixty-three is larger than seventy-four.,0,63,74,-11,11
Sixty-three is larger than seventy-five.,0,63,75,-12,12
Sixty-three is larger than seventy-six.,0,63,76,-13,13
Sixty-three is larger than seventy-seven.,0,63,77,-14,14
Sixty-three is larger than seventy-eight.,0,63,78,-15,15
Sixty-three is larger than seventy-nine.,0,63,79,-16,16
Sixty-three is larger than eighty-one.,0,63,81,-18,18
Sixty-three is larger than eighty-two.,0,63,82,-19,19
Sixty-three is larger than eighty-three.,0,63,83,-20,20
Sixty-three is larger than eighty-four.,0,63,84,-21,21
Sixty-three is larger than eighty-five.,0,63,85,-22,22
Sixty-three is larger than eighty-six.,0,63,86,-23,23
Sixty-three is larger than eighty-seven.,0,63,87,-24,24
Sixty-three is larger than eighty-eight.,0,63,88,-25,25
Sixty-three is larger than eighty-nine.,0,63,89,-26,26
Sixty-three is larger than ninety-one.,0,63,91,-28,28
Sixty-three is larger than ninety-two.,0,63,92,-29,29
Sixty-three is larger than ninety-three.,0,63,93,-30,30
Sixty-three is larger than ninety-four.,0,63,94,-31,31
Sixty-three is larger than ninety-five.,0,63,95,-32,32
Sixty-three is larger than ninety-six.,0,63,96,-33,33
Sixty-three is larger than ninety-seven.,0,63,97,-34,34
Sixty-three is larger than ninety-eight.,0,63,98,-35,35
Sixty-three is larger than ninety-nine.,0,63,99,-36,36
Sixty-four is larger than fifty-one.,1,64,51,13,13
Sixty-four is larger than fifty-two.,1,64,52,12,12
Sixty-four is larger than fifty-three.,1,64,53,11,11
Sixty-four is larger than fifty-four.,1,64,54,10,10
Sixty-four is larger than fifty-five.,1,64,55,9,9
Sixty-four is larger than fifty-six.,1,64,56,8,8
Sixty-four is larger than fifty-seven.,1,64,57,7,7
Sixty-four is larger than fifty-eight.,1,64,58,6,6
Sixty-four is larger than fifty-nine.,1,64,59,5,5
Sixty-four is larger than sixty-one.,1,64,61,3,3
Sixty-four is larger than sixty-two.,1,64,62,2,2
Sixty-four is larger than sixty-three.,1,64,63,1,1
Sixty-four is larger than sixty-five.,0,64,65,-1,1
Sixty-four is larger than sixty-six.,0,64,66,-2,2
Sixty-four is larger than sixty-seven.,0,64,67,-3,3
Sixty-four is larger than sixty-eight.,0,64,68,-4,4
Sixty-four is larger than sixty-nine.,0,64,69,-5,5
Sixty-four is larger than seventy-one.,0,64,71,-7,7
Sixty-four is larger than seventy-two.,0,64,72,-8,8
Sixty-four is larger than seventy-three.,0,64,73,-9,9
Sixty-four is larger than seventy-four.,0,64,74,-10,10
Sixty-four is larger than seventy-five.,0,64,75,-11,11
Sixty-four is larger than seventy-six.,0,64,76,-12,12
Sixty-four is larger than seventy-seven.,0,64,77,-13,13
Sixty-four is larger than seventy-eight.,0,64,78,-14,14
Sixty-four is larger than seventy-nine.,0,64,79,-15,15
Sixty-four is larger than eighty-one.,0,64,81,-17,17
Sixty-four is larger than eighty-two.,0,64,82,-18,18
Sixty-four is larger than eighty-three.,0,64,83,-19,19
Sixty-four is larger than eighty-four.,0,64,84,-20,20
Sixty-four is larger than eighty-five.,0,64,85,-21,21
Sixty-four is larger than eighty-six.,0,64,86,-22,22
Sixty-four is larger than eighty-seven.,0,64,87,-23,23
Sixty-four is larger than eighty-eight.,0,64,88,-24,24
Sixty-four is larger than eighty-nine.,0,64,89,-25,25
Sixty-four is larger than ninety-one.,0,64,91,-27,27
Sixty-four is larger than ninety-two.,0,64,92,-28,28
Sixty-four is larger than ninety-three.,0,64,93,-29,29
Sixty-four is larger than ninety-four.,0,64,94,-30,30
Sixty-four is larger than ninety-five.,0,64,95,-31,31
Sixty-four is larger than ninety-six.,0,64,96,-32,32
Sixty-four is larger than ninety-seven.,0,64,97,-33,33
Sixty-four is larger than ninety-eight.,0,64,98,-34,34
Sixty-four is larger than ninety-nine.,0,64,99,-35,35
Sixty-five is larger than fifty-one.,1,65,51,14,14
Sixty-five is larger than fifty-two.,1,65,52,13,13
Sixty-five is larger than fifty-three.,1,65,53,12,12
Sixty-five is larger than fifty-four.,1,65,54,11,11
Sixty-five is larger than fifty-five.,1,65,55,10,10
Sixty-five is larger than fifty-six.,1,65,56,9,9
Sixty-five is larger than fifty-seven.,1,65,57,8,8
Sixty-five is larger than fifty-eight.,1,65,58,7,7
Sixty-five is larger than fifty-nine.,1,65,59,6,6
Sixty-five is larger than sixty-one.,1,65,61,4,4
Sixty-five is larger than sixty-two.,1,65,62,3,3
Sixty-five is larger than sixty-three.,1,65,63,2,2
Sixty-five is larger than sixty-four.,1,65,64,1,1
Sixty-five is larger than sixty-six.,0,65,66,-1,1
Sixty-five is larger than sixty-seven.,0,65,67,-2,2
Sixty-five is larger than sixty-eight.,0,65,68,-3,3
Sixty-five is larger than sixty-nine.,0,65,69,-4,4
Sixty-five is larger than seventy-one.,0,65,71,-6,6
Sixty-five is larger than seventy-two.,0,65,72,-7,7
Sixty-five is larger than seventy-three.,0,65,73,-8,8
Sixty-five is larger than seventy-four.,0,65,74,-9,9
Sixty-five is larger than seventy-five.,0,65,75,-10,10
Sixty-five is larger than seventy-six.,0,65,76,-11,11
Sixty-five is larger than seventy-seven.,0,65,77,-12,12
Sixty-five is larger than seventy-eight.,0,65,78,-13,13
Sixty-five is larger than seventy-nine.,0,65,79,-14,14
Sixty-five is larger than eighty-one.,0,65,81,-16,16
Sixty-five is larger than eighty-two.,0,65,82,-17,17
Sixty-five is larger than eighty-three.,0,65,83,-18,18
Sixty-five is larger than eighty-four.,0,65,84,-19,19
Sixty-five is larger than eighty-five.,0,65,85,-20,20
Sixty-five is larger than eighty-six.,0,65,86,-21,21
Sixty-five is larger than eighty-seven.,0,65,87,-22,22
Sixty-five is larger than eighty-eight.,0,65,88,-23,23
Sixty-five is larger than eighty-nine.,0,65,89,-24,24
Sixty-five is larger than ninety-one.,0,65,91,-26,26
Sixty-five is larger than ninety-two.,0,65,92,-27,27
Sixty-five is larger than ninety-three.,0,65,93,-28,28
Sixty-five is larger than ninety-four.,0,65,94,-29,29
Sixty-five is larger than ninety-five.,0,65,95,-30,30
Sixty-five is larger than ninety-six.,0,65,96,-31,31
Sixty-five is larger than ninety-seven.,0,65,97,-32,32
Sixty-five is larger than ninety-eight.,0,65,98,-33,33
Sixty-five is larger than ninety-nine.,0,65,99,-34,34
Sixty-six is larger than fifty-one.,1,66,51,15,15
Sixty-six is larger than fifty-two.,1,66,52,14,14
Sixty-six is larger than fifty-three.,1,66,53,13,13
Sixty-six is larger than fifty-four.,1,66,54,12,12
Sixty-six is larger than fifty-five.,1,66,55,11,11
Sixty-six is larger than fifty-six.,1,66,56,10,10
Sixty-six is larger than fifty-seven.,1,66,57,9,9
Sixty-six is larger than fifty-eight.,1,66,58,8,8
Sixty-six is larger than fifty-nine.,1,66,59,7,7
Sixty-six is larger than sixty-one.,1,66,61,5,5
Sixty-six is larger than sixty-two.,1,66,62,4,4
Sixty-six is larger than sixty-three.,1,66,63,3,3
Sixty-six is larger than sixty-four.,1,66,64,2,2
Sixty-six is larger than sixty-five.,1,66,65,1,1
Sixty-six is larger than sixty-seven.,0,66,67,-1,1
Sixty-six is larger than sixty-eight.,0,66,68,-2,2
Sixty-six is larger than sixty-nine.,0,66,69,-3,3
Sixty-six is larger than seventy-one.,0,66,71,-5,5
Sixty-six is larger than seventy-two.,0,66,72,-6,6
Sixty-six is larger than seventy-three.,0,66,73,-7,7
Sixty-six is larger than seventy-four.,0,66,74,-8,8
Sixty-six is larger than seventy-five.,0,66,75,-9,9
Sixty-six is larger than seventy-six.,0,66,76,-10,10
Sixty-six is larger than seventy-seven.,0,66,77,-11,11
Sixty-six is larger than seventy-eight.,0,66,78,-12,12
Sixty-six is larger than seventy-nine.,0,66,79,-13,13
Sixty-six is larger than eighty-one.,0,66,81,-15,15
Sixty-six is larger than eighty-two.,0,66,82,-16,16
Sixty-six is larger than eighty-three.,0,66,83,-17,17
Sixty-six is larger than eighty-four.,0,66,84,-18,18
Sixty-six is larger than eighty-five.,0,66,85,-19,19
Sixty-six is larger than eighty-six.,0,66,86,-20,20
Sixty-six is larger than eighty-seven.,0,66,87,-21,21
Sixty-six is larger than eighty-eight.,0,66,88,-22,22
Sixty-six is larger than eighty-nine.,0,66,89,-23,23
Sixty-six is larger than ninety-one.,0,66,91,-25,25
Sixty-six is larger than ninety-two.,0,66,92,-26,26
Sixty-six is larger than ninety-three.,0,66,93,-27,27
Sixty-six is larger than ninety-four.,0,66,94,-28,28
Sixty-six is larger than ninety-five.,0,66,95,-29,29
Sixty-six is larger than ninety-six.,0,66,96,-30,30
Sixty-six is larger than ninety-seven.,0,66,97,-31,31
Sixty-six is larger than ninety-eight.,0,66,98,-32,32
Sixty-six is larger than ninety-nine.,0,66,99,-33,33
Sixty-seven is larger than fifty-one.,1,67,51,16,16
Sixty-seven is larger than fifty-two.,1,67,52,15,15
Sixty-seven is larger than fifty-three.,1,67,53,14,14
Sixty-seven is larger than fifty-four.,1,67,54,13,13
Sixty-seven is larger than fifty-five.,1,67,55,12,12
Sixty-seven is larger than fifty-six.,1,67,56,11,11
Sixty-seven is larger than fifty-seven.,1,67,57,10,10
Sixty-seven is larger than fifty-eight.,1,67,58,9,9
Sixty-seven is larger than fifty-nine.,1,67,59,8,8
Sixty-seven is larger than sixty-one.,1,67,61,6,6
Sixty-seven is larger than sixty-two.,1,67,62,5,5
Sixty-seven is larger than sixty-three.,1,67,63,4,4
Sixty-seven is larger than sixty-four.,1,67,64,3,3
Sixty-seven is larger than sixty-five.,1,67,65,2,2
Sixty-seven is larger than sixty-six.,1,67,66,1,1
Sixty-seven is larger than sixty-eight.,0,67,68,-1,1
Sixty-seven is larger than sixty-nine.,0,67,69,-2,2
Sixty-seven is larger than seventy-one.,0,67,71,-4,4
Sixty-seven is larger than seventy-two.,0,67,72,-5,5
Sixty-seven is larger than seventy-three.,0,67,73,-6,6
Sixty-seven is larger than seventy-four.,0,67,74,-7,7
Sixty-seven is larger than seventy-five.,0,67,75,-8,8
Sixty-seven is larger than seventy-six.,0,67,76,-9,9
Sixty-seven is larger than seventy-seven.,0,67,77,-10,10
Sixty-seven is larger than seventy-eight.,0,67,78,-11,11
Sixty-seven is larger than seventy-nine.,0,67,79,-12,12
Sixty-seven is larger than eighty-one.,0,67,81,-14,14
Sixty-seven is larger than eighty-two.,0,67,82,-15,15
Sixty-seven is larger than eighty-three.,0,67,83,-16,16
Sixty-seven is larger than eighty-four.,0,67,84,-17,17
Sixty-seven is larger than eighty-five.,0,67,85,-18,18
Sixty-seven is larger than eighty-six.,0,67,86,-19,19
Sixty-seven is larger than eighty-seven.,0,67,87,-20,20
Sixty-seven is larger than eighty-eight.,0,67,88,-21,21
Sixty-seven is larger than eighty-nine.,0,67,89,-22,22
Sixty-seven is larger than ninety-one.,0,67,91,-24,24
Sixty-seven is larger than ninety-two.,0,67,92,-25,25
Sixty-seven is larger than ninety-three.,0,67,93,-26,26
Sixty-seven is larger than ninety-four.,0,67,94,-27,27
Sixty-seven is larger than ninety-five.,0,67,95,-28,28
Sixty-seven is larger than ninety-six.,0,67,96,-29,29
Sixty-seven is larger than ninety-seven.,0,67,97,-30,30
Sixty-seven is larger than ninety-eight.,0,67,98,-31,31
Sixty-seven is larger than ninety-nine.,0,67,99,-32,32
Sixty-eight is larger than fifty-one.,1,68,51,17,17
Sixty-eight is larger than fifty-two.,1,68,52,16,16
Sixty-eight is larger than fifty-three.,1,68,53,15,15
Sixty-eight is larger than fifty-four.,1,68,54,14,14
Sixty-eight is larger than fifty-five.,1,68,55,13,13
Sixty-eight is larger than fifty-six.,1,68,56,12,12
Sixty-eight is larger than fifty-seven.,1,68,57,11,11
Sixty-eight is larger than fifty-eight.,1,68,58,10,10
Sixty-eight is larger than fifty-nine.,1,68,59,9,9
Sixty-eight is larger than sixty-one.,1,68,61,7,7
Sixty-eight is larger than sixty-two.,1,68,62,6,6
Sixty-eight is larger than sixty-three.,1,68,63,5,5
Sixty-eight is larger than sixty-four.,1,68,64,4,4
Sixty-eight is larger than sixty-five.,1,68,65,3,3
Sixty-eight is larger than sixty-six.,1,68,66,2,2
Sixty-eight is larger than sixty-seven.,1,68,67,1,1
Sixty-eight is larger than sixty-nine.,0,68,69,-1,1
Sixty-eight is larger than seventy-one.,0,68,71,-3,3
Sixty-eight is larger than seventy-two.,0,68,72,-4,4
Sixty-eight is larger than seventy-three.,0,68,73,-5,5
Sixty-eight is larger than seventy-four.,0,68,74,-6,6
Sixty-eight is larger than seventy-five.,0,68,75,-7,7
Sixty-eight is larger than seventy-six.,0,68,76,-8,8
Sixty-eight is larger than seventy-seven.,0,68,77,-9,9
Sixty-eight is larger than seventy-eight.,0,68,78,-10,10
Sixty-eight is larger than seventy-nine.,0,68,79,-11,11
Sixty-eight is larger than eighty-one.,0,68,81,-13,13
Sixty-eight is larger than eighty-two.,0,68,82,-14,14
Sixty-eight is larger than eighty-three.,0,68,83,-15,15
Sixty-eight is larger than eighty-four.,0,68,84,-16,16
Sixty-eight is larger than eighty-five.,0,68,85,-17,17
Sixty-eight is larger than eighty-six.,0,68,86,-18,18
Sixty-eight is larger than eighty-seven.,0,68,87,-19,19
Sixty-eight is larger than eighty-eight.,0,68,88,-20,20
Sixty-eight is larger than eighty-nine.,0,68,89,-21,21
Sixty-eight is larger than ninety-one.,0,68,91,-23,23
Sixty-eight is larger than ninety-two.,0,68,92,-24,24
Sixty-eight is larger than ninety-three.,0,68,93,-25,25
Sixty-eight is larger than ninety-four.,0,68,94,-26,26
Sixty-eight is larger than ninety-five.,0,68,95,-27,27
Sixty-eight is larger than ninety-six.,0,68,96,-28,28
Sixty-eight is larger than ninety-seven.,0,68,97,-29,29
Sixty-eight is larger than ninety-eight.,0,68,98,-30,30
Sixty-eight is larger than ninety-nine.,0,68,99,-31,31
Sixty-nine is larger than fifty-one.,1,69,51,18,18
Sixty-nine is larger than fifty-two.,1,69,52,17,17
Sixty-nine is larger than fifty-three.,1,69,53,16,16
Sixty-nine is larger than fifty-four.,1,69,54,15,15
Sixty-nine is larger than fifty-five.,1,69,55,14,14
Sixty-nine is larger than fifty-six.,1,69,56,13,13
Sixty-nine is larger than fifty-seven.,1,69,57,12,12
Sixty-nine is larger than fifty-eight.,1,69,58,11,11
Sixty-nine is larger than fifty-nine.,1,69,59,10,10
Sixty-nine is larger than sixty-one.,1,69,61,8,8
Sixty-nine is larger than sixty-two.,1,69,62,7,7
Sixty-nine is larger than sixty-three.,1,69,63,6,6
Sixty-nine is larger than sixty-four.,1,69,64,5,5
Sixty-nine is larger than sixty-five.,1,69,65,4,4
Sixty-nine is larger than sixty-six.,1,69,66,3,3
Sixty-nine is larger than sixty-seven.,1,69,67,2,2
Sixty-nine is larger than sixty-eight.,1,69,68,1,1
Sixty-nine is larger than seventy-one.,0,69,71,-2,2
Sixty-nine is larger than seventy-two.,0,69,72,-3,3
Sixty-nine is larger than seventy-three.,0,69,73,-4,4
Sixty-nine is larger than seventy-four.,0,69,74,-5,5
Sixty-nine is larger than seventy-five.,0,69,75,-6,6
Sixty-nine is larger than seventy-six.,0,69,76,-7,7
Sixty-nine is larger than seventy-seven.,0,69,77,-8,8
Sixty-nine is larger than seventy-eight.,0,69,78,-9,9
Sixty-nine is larger than seventy-nine.,0,69,79,-10,10
Sixty-nine is larger than eighty-one.,0,69,81,-12,12
Sixty-nine is larger than eighty-two.,0,69,82,-13,13
Sixty-nine is larger than eighty-three.,0,69,83,-14,14
Sixty-nine is larger than eighty-four.,0,69,84,-15,15
Sixty-nine is larger than eighty-five.,0,69,85,-16,16
Sixty-nine is larger than eighty-six.,0,69,86,-17,17
Sixty-nine is larger than eighty-seven.,0,69,87,-18,18
Sixty-nine is larger than eighty-eight.,0,69,88,-19,19
Sixty-nine is larger than eighty-nine.,0,69,89,-20,20
Sixty-nine is larger than ninety-one.,0,69,91,-22,22
Sixty-nine is larger than ninety-two.,0,69,92,-23,23
Sixty-nine is larger than ninety-three.,0,69,93,-24,24
Sixty-nine is larger than ninety-four.,0,69,94,-25,25
Sixty-nine is larger than ninety-five.,0,69,95,-26,26
Sixty-nine is larger than ninety-six.,0,69,96,-27,27
Sixty-nine is larger than ninety-seven.,0,69,97,-28,28
Sixty-nine is larger than ninety-eight.,0,69,98,-29,29
Sixty-nine is larger than ninety-nine.,0,69,99,-30,30
Seventy-one is larger than fifty-one.,1,71,51,20,20
Seventy-one is larger than fifty-two.,1,71,52,19,19
Seventy-one is larger than fifty-three.,1,71,53,18,18
Seventy-one is larger than fifty-four.,1,71,54,17,17
Seventy-one is larger than fifty-five.,1,71,55,16,16
Seventy-one is larger than fifty-six.,1,71,56,15,15
Seventy-one is larger than fifty-seven.,1,71,57,14,14
Seventy-one is larger than fifty-eight.,1,71,58,13,13
Seventy-one is larger than fifty-nine.,1,71,59,12,12
Seventy-one is larger than sixty-one.,1,71,61,10,10
Seventy-one is larger than sixty-two.,1,71,62,9,9
Seventy-one is larger than sixty-three.,1,71,63,8,8
Seventy-one is larger than sixty-four.,1,71,64,7,7
Seventy-one is larger than sixty-five.,1,71,65,6,6
Seventy-one is larger than sixty-six.,1,71,66,5,5
Seventy-one is larger than sixty-seven.,1,71,67,4,4
Seventy-one is larger than sixty-eight.,1,71,68,3,3
Seventy-one is larger than sixty-nine.,1,71,69,2,2
Seventy-one is larger than seventy-two.,0,71,72,-1,1
Seventy-one is larger than seventy-three.,0,71,73,-2,2
Seventy-one is larger than seventy-four.,0,71,74,-3,3
Seventy-one is larger than seventy-five.,0,71,75,-4,4
Seventy-one is larger than seventy-six.,0,71,76,-5,5
Seventy-one is larger than seventy-seven.,0,71,77,-6,6
Seventy-one is larger than seventy-eight.,0,71,78,-7,7
Seventy-one is larger than seventy-nine.,0,71,79,-8,8
Seventy-one is larger than eighty-one.,0,71,81,-10,10
Seventy-one is larger than eighty-two.,0,71,82,-11,11
Seventy-one is larger than eighty-three.,0,71,83,-12,12
Seventy-one is larger than eighty-four.,0,71,84,-13,13
Seventy-one is larger than eighty-five.,0,71,85,-14,14
Seventy-one is larger than eighty-six.,0,71,86,-15,15
Seventy-one is larger than eighty-seven.,0,71,87,-16,16
Seventy-one is larger than eighty-eight.,0,71,88,-17,17
Seventy-one is larger than eighty-nine.,0,71,89,-18,18
Seventy-one is larger than ninety-one.,0,71,91,-20,20
Seventy-one is larger than ninety-two.,0,71,92,-21,21
Seventy-one is larger than ninety-three.,0,71,93,-22,22
Seventy-one is larger than ninety-four.,0,71,94,-23,23
Seventy-one is larger than ninety-five.,0,71,95,-24,24
Seventy-one is larger than ninety-six.,0,71,96,-25,25
Seventy-one is larger than ninety-seven.,0,71,97,-26,26
Seventy-one is larger than ninety-eight.,0,71,98,-27,27
Seventy-one is larger than ninety-nine.,0,71,99,-28,28
Seventy-two is larger than fifty-one.,1,72,51,21,21
Seventy-two is larger than fifty-two.,1,72,52,20,20
Seventy-two is larger than fifty-three.,1,72,53,19,19
Seventy-two is larger than fifty-four.,1,72,54,18,18
Seventy-two is larger than fifty-five.,1,72,55,17,17
Seventy-two is larger than fifty-six.,1,72,56,16,16
Seventy-two is larger than fifty-seven.,1,72,57,15,15
Seventy-two is larger than fifty-eight.,1,72,58,14,14
Seventy-two is larger than fifty-nine.,1,72,59,13,13
Seventy-two is larger than sixty-one.,1,72,61,11,11
Seventy-two is larger than sixty-two.,1,72,62,10,10
Seventy-two is larger than sixty-three.,1,72,63,9,9
Seventy-two is larger than sixty-four.,1,72,64,8,8
Seventy-two is larger than sixty-five.,1,72,65,7,7
Seventy-two is larger than sixty-six.,1,72,66,6,6
Seventy-two is larger than sixty-seven.,1,72,67,5,5
Seventy-two is larger than sixty-eight.,1,72,68,4,4
Seventy-two is larger than sixty-nine.,1,72,69,3,3
Seventy-two is larger than seventy-one.,1,72,71,1,1
Seventy-two is larger than seventy-three.,0,72,73,-1,1
Seventy-two is larger than seventy-four.,0,72,74,-2,2
Seventy-two is larger than seventy-five.,0,72,75,-3,3
Seventy-two is larger than seventy-six.,0,72,76,-4,4
Seventy-two is larger than seventy-seven.,0,72,77,-5,5
Seventy-two is larger than seventy-eight.,0,72,78,-6,6
Seventy-two is larger than seventy-nine.,0,72,79,-7,7
Seventy-two is larger than eighty-one.,0,72,81,-9,9
Seventy-two is larger than eighty-two.,0,72,82,-10,10
Seventy-two is larger than eighty-three.,0,72,83,-11,11
Seventy-two is larger than eighty-four.,0,72,84,-12,12
Seventy-two is larger than eighty-five.,0,72,85,-13,13
Seventy-two is larger than eighty-six.,0,72,86,-14,14
Seventy-two is larger than eighty-seven.,0,72,87,-15,15
Seventy-two is larger than eighty-eight.,0,72,88,-16,16
Seventy-two is larger than eighty-nine.,0,72,89,-17,17
Seventy-two is larger than ninety-one.,0,72,91,-19,19
Seventy-two is larger than ninety-two.,0,72,92,-20,20
Seventy-two is larger than ninety-three.,0,72,93,-21,21
Seventy-two is larger than ninety-four.,0,72,94,-22,22
Seventy-two is larger than ninety-five.,0,72,95,-23,23
Seventy-two is larger than ninety-six.,0,72,96,-24,24
Seventy-two is larger than ninety-seven.,0,72,97,-25,25
Seventy-two is larger than ninety-eight.,0,72,98,-26,26
Seventy-two is larger than ninety-nine.,0,72,99,-27,27
Seventy-three is larger than fifty-one.,1,73,51,22,22
Seventy-three is larger than fifty-two.,1,73,52,21,21
Seventy-three is larger than fifty-three.,1,73,53,20,20
Seventy-three is larger than fifty-four.,1,73,54,19,19
Seventy-three is larger than fifty-five.,1,73,55,18,18
Seventy-three is larger than fifty-six.,1,73,56,17,17
Seventy-three is larger than fifty-seven.,1,73,57,16,16
Seventy-three is larger than fifty-eight.,1,73,58,15,15
Seventy-three is larger than fifty-nine.,1,73,59,14,14
Seventy-three is larger than sixty-one.,1,73,61,12,12
Seventy-three is larger than sixty-two.,1,73,62,11,11
Seventy-three is larger than sixty-three.,1,73,63,10,10
Seventy-three is larger than sixty-four.,1,73,64,9,9
Seventy-three is larger than sixty-five.,1,73,65,8,8
Seventy-three is larger than sixty-six.,1,73,66,7,7
Seventy-three is larger than sixty-seven.,1,73,67,6,6
Seventy-three is larger than sixty-eight.,1,73,68,5,5
Seventy-three is larger than sixty-nine.,1,73,69,4,4
Seventy-three is larger than seventy-one.,1,73,71,2,2
Seventy-three is larger than seventy-two.,1,73,72,1,1
Seventy-three is larger than seventy-four.,0,73,74,-1,1
Seventy-three is larger than seventy-five.,0,73,75,-2,2
Seventy-three is larger than seventy-six.,0,73,76,-3,3
Seventy-three is larger than seventy-seven.,0,73,77,-4,4
Seventy-three is larger than seventy-eight.,0,73,78,-5,5
Seventy-three is larger than seventy-nine.,0,73,79,-6,6
Seventy-three is larger than eighty-one.,0,73,81,-8,8
Seventy-three is larger than eighty-two.,0,73,82,-9,9
Seventy-three is larger than eighty-three.,0,73,83,-10,10
Seventy-three is larger than eighty-four.,0,73,84,-11,11
Seventy-three is larger than eighty-five.,0,73,85,-12,12
Seventy-three is larger than eighty-six.,0,73,86,-13,13
Seventy-three is larger than eighty-seven.,0,73,87,-14,14
Seventy-three is larger than eighty-eight.,0,73,88,-15,15
Seventy-three is larger than eighty-nine.,0,73,89,-16,16
Seventy-three is larger than ninety-one.,0,73,91,-18,18
Seventy-three is larger than ninety-two.,0,73,92,-19,19
Seventy-three is larger than ninety-three.,0,73,93,-20,20
Seventy-three is larger than ninety-four.,0,73,94,-21,21
Seventy-three is larger than ninety-five.,0,73,95,-22,22
Seventy-three is larger than ninety-six.,0,73,96,-23,23
Seventy-three is larger than ninety-seven.,0,73,97,-24,24
Seventy-three is larger than ninety-eight.,0,73,98,-25,25
Seventy-three is larger than ninety-nine.,0,73,99,-26,26
Seventy-four is larger than fifty-one.,1,74,51,23,23
Seventy-four is larger than fifty-two.,1,74,52,22,22
Seventy-four is larger than fifty-three.,1,74,53,21,21
Seventy-four is larger than fifty-four.,1,74,54,20,20
Seventy-four is larger than fifty-five.,1,74,55,19,19
Seventy-four is larger than fifty-six.,1,74,56,18,18
Seventy-four is larger than fifty-seven.,1,74,57,17,17
Seventy-four is larger than fifty-eight.,1,74,58,16,16
Seventy-four is larger than fifty-nine.,1,74,59,15,15
Seventy-four is larger than sixty-one.,1,74,61,13,13
Seventy-four is larger than sixty-two.,1,74,62,12,12
Seventy-four is larger than sixty-three.,1,74,63,11,11
Seventy-four is larger than sixty-four.,1,74,64,10,10
Seventy-four is larger than sixty-five.,1,74,65,9,9
Seventy-four is larger than sixty-six.,1,74,66,8,8
Seventy-four is larger than sixty-seven.,1,74,67,7,7
Seventy-four is larger than sixty-eight.,1,74,68,6,6
Seventy-four is larger than sixty-nine.,1,74,69,5,5
Seventy-four is larger than seventy-one.,1,74,71,3,3
Seventy-four is larger than seventy-two.,1,74,72,2,2
Seventy-four is larger than seventy-three.,1,74,73,1,1
Seventy-four is larger than seventy-five.,0,74,75,-1,1
Seventy-four is larger than seventy-six.,0,74,76,-2,2
Seventy-four is larger than seventy-seven.,0,74,77,-3,3
Seventy-four is larger than seventy-eight.,0,74,78,-4,4
Seventy-four is larger than seventy-nine.,0,74,79,-5,5
Seventy-four is larger than eighty-one.,0,74,81,-7,7
Seventy-four is larger than eighty-two.,0,74,82,-8,8
Seventy-four is larger than eighty-three.,0,74,83,-9,9
Seventy-four is larger than eighty-four.,0,74,84,-10,10
Seventy-four is larger than eighty-five.,0,74,85,-11,11
Seventy-four is larger than eighty-six.,0,74,86,-12,12
Seventy-four is larger than eighty-seven.,0,74,87,-13,13
Seventy-four is larger than eighty-eight.,0,74,88,-14,14
Seventy-four is larger than eighty-nine.,0,74,89,-15,15
Seventy-four is larger than ninety-one.,0,74,91,-17,17
Seventy-four is larger than ninety-two.,0,74,92,-18,18
Seventy-four is larger than ninety-three.,0,74,93,-19,19
Seventy-four is larger than ninety-four.,0,74,94,-20,20
Seventy-four is larger than ninety-five.,0,74,95,-21,21
Seventy-four is larger than ninety-six.,0,74,96,-22,22
Seventy-four is larger than ninety-seven.,0,74,97,-23,23
Seventy-four is larger than ninety-eight.,0,74,98,-24,24
Seventy-four is larger than ninety-nine.,0,74,99,-25,25
Seventy-five is larger than fifty-one.,1,75,51,24,24
Seventy-five is larger than fifty-two.,1,75,52,23,23
Seventy-five is larger than fifty-three.,1,75,53,22,22
Seventy-five is larger than fifty-four.,1,75,54,21,21
Seventy-five is larger than fifty-five.,1,75,55,20,20
Seventy-five is larger than fifty-six.,1,75,56,19,19
Seventy-five is larger than fifty-seven.,1,75,57,18,18
Seventy-five is larger than fifty-eight.,1,75,58,17,17
Seventy-five is larger than fifty-nine.,1,75,59,16,16
Seventy-five is larger than sixty-one.,1,75,61,14,14
Seventy-five is larger than sixty-two.,1,75,62,13,13
Seventy-five is larger than sixty-three.,1,75,63,12,12
Seventy-five is larger than sixty-four.,1,75,64,11,11
Seventy-five is larger than sixty-five.,1,75,65,10,10
Seventy-five is larger than sixty-six.,1,75,66,9,9
Seventy-five is larger than sixty-seven.,1,75,67,8,8
Seventy-five is larger than sixty-eight.,1,75,68,7,7
