statement,label,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Santo Domingo Este is in the Dominican Republic and that the city of Jalandhar is in India.,1,The city of Santo Domingo Este is in the Dominican Republic.,1,Santo Domingo Este,Dominican Republic,Dominican Republic,The city of Jalandhar is in India.,1,Jalandhar,India,India
It is the case both that the city of Siping is in China and that the city of Baku is in Azerbaijan.,1,The city of Siping is in China.,1,Siping,China,China,The city of Baku is in Azerbaijan.,1,Baku,Azerbaijan,Azerbaijan
It is the case both that the city of Kharkiv is in Ukraine and that the city of Abu Dhabi is in the United Arab Emirates.,1,The city of Kharkiv is in Ukraine.,1,Kharkiv,Ukraine,Ukraine,The city of Abu Dhabi is in the United Arab Emirates.,1,Abu Dhabi,United Arab Emirates,United Arab Emirates
It is the case both that the city of Zigong is in China and that the city of Wuhan is in China.,1,The city of Zigong is in China.,1,Zigong,China,China,The city of Wuhan is in China.,1,Wuhan,China,China
It is the case both that the city of Fortaleza is in Brazil and that the city of Kotli is in Pakistan.,1,The city of Fortaleza is in Brazil.,1,Fortaleza,Brazil,Brazil,The city of Kotli is in Pakistan.,1,Kotli,Pakistan,Pakistan
It is the case both that the city of Dehra Dun is in India and that the city of Phnom Penh is in Cambodia.,1,The city of Dehra Dun is in India.,1,Dehra Dun,India,India,The city of Phnom Penh is in Cambodia.,1,Phnom Penh,Cambodia,Cambodia
It is the case both that the city of Vladivostok is in Russia and that the city of Bhubaneswar is in India.,1,The city of Vladivostok is in Russia.,1,Vladivostok,Russian Federation,Russian Federation,The city of Bhubaneswar is in India.,1,Bhubaneswar,India,India
It is the case both that the city of Sanming is in China and that the city of Xuzhou is in China.,1,The city of Sanming is in China.,1,Sanming,China,China,The city of Xuzhou is in China.,1,Xuzhou,China,China
It is the case both that the city of Gwalior is in India and that the city of Santiago de los Caballeros is in the Dominican Republic.,1,The city of Gwalior is in India.,1,Gwalior,India,India,The city of Santiago de los Caballeros is in the Dominican Republic.,1,Santiago de los Caballeros,Dominican Republic,Dominican Republic
It is the case both that the city of Al Mawsil al Jadidah is in Iraq and that the city of Hegang is in China.,1,The city of Al Mawsil al Jadidah is in Iraq.,1,Al Mawsil al Jadidah,Iraq,Iraq,The city of Hegang is in China.,1,Hegang,China,China
It is the case both that the city of Al Ahmadi is in Kuwait and that the city of Ordos is in China.,1,The city of Al Ahmadi is in Kuwait.,1,Al Ahmadi,Kuwait,Kuwait,The city of Ordos is in China.,1,Ordos,China,China
It is the case both that the city of Paranaque City is in the Philippines and that the city of Belo Horizonte is in Brazil.,1,The city of Paranaque City is in the Philippines.,1,Paranaque City,Philippines,Philippines,The city of Belo Horizonte is in Brazil.,1,Belo Horizonte,Brazil,Brazil
It is the case both that the city of Narela is in India and that the city of Rajkot is in India.,1,The city of Narela is in India.,1,Narela,India,India,The city of Rajkot is in India.,1,Rajkot,India,India
It is the case both that the city of Peshawar is in Pakistan and that the city of Cixi is in China.,1,The city of Peshawar is in Pakistan.,1,Peshawar,Pakistan,Pakistan,The city of Cixi is in China.,1,Cixi,China,China
It is the case both that the city of Battagram is in Pakistan and that the city of Suizhou is in China.,1,The city of Battagram is in Pakistan.,1,Battagram,Pakistan,Pakistan,The city of Suizhou is in China.,1,Suizhou,China,China
It is the case both that the city of Novokuznetsk is in Russia and that the city of Bouake is in Côte d'Ivoire.,1,The city of Novokuznetsk is in Russia.,1,Novokuznetsk,Russian Federation,Russian Federation,The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire
It is the case both that the city of Karaj is in Iran and that the city of Zahedan is in Iran.,1,The city of Karaj is in Iran.,1,Karaj,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Zahedan is in Iran.,1,Zahedan,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Guang'an is in China and that the city of Arequipa is in Peru.,1,The city of Guang'an is in China.,1,Guang'an,China,China,The city of Arequipa is in Peru.,1,Arequipa,Peru,Peru
It is the case both that the city of Ahvaz is in Iran and that the city of Las Pinas is in the Philippines.,1,The city of Ahvaz is in Iran.,1,Ahvaz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Las Pinas is in the Philippines.,1,Las Pinas,Philippines,Philippines
It is the case both that the city of Guigang is in China and that the city of Liupanshui is in China.,1,The city of Guigang is in China.,1,Guigang,China,China,The city of Liupanshui is in China.,1,Liupanshui,China,China
It is the case both that the city of Shangrao is in China and that the city of Arak is in Iran.,1,The city of Shangrao is in China.,1,Shangrao,China,China,The city of Arak is in Iran.,1,Arak,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Istanbul is in Turkey and that the city of Naberezhnyye Chelny is in Russia.,1,The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey,The city of Naberezhnyye Chelny is in Russia.,1,Naberezhnyye Chelny,Russian Federation,Russian Federation
It is the case both that the city of Chengdu is in China and that the city of Matsuyama is in Japan.,1,The city of Chengdu is in China.,1,Chengdu,China,China,The city of Matsuyama is in Japan.,1,Matsuyama,Japan,Japan
It is the case both that the city of Dhanbad is in India and that the city of Algiers is in Algeria.,1,The city of Dhanbad is in India.,1,Dhanbad,India,India,The city of Algiers is in Algeria.,1,Algiers,Algeria,Algeria
It is the case both that the city of Izmir is in Turkey and that the city of Jingmen is in China.,1,The city of Izmir is in Turkey.,1,Izmir,Turkey,Turkey,The city of Jingmen is in China.,1,Jingmen,China,China
It is the case both that the city of Stockholm is in Sweden and that the city of Omsk is in Russia.,1,The city of Stockholm is in Sweden.,1,Stockholm,Sweden,Sweden,The city of Omsk is in Russia.,1,Omsk,Russian Federation,Russian Federation
It is the case both that the city of Guangzhou is in China and that the city of Kozhikode is in India.,1,The city of Guangzhou is in China.,1,Guangzhou,China,China,The city of Kozhikode is in India.,1,Kozhikode,India,India
It is the case both that the city of Eskisehir is in Turkey and that the city of Chennai is in India.,1,The city of Eskisehir is in Turkey.,1,Eskisehir,Turkey,Turkey,The city of Chennai is in India.,1,Chennai,India,India
It is the case both that the city of Ilorin is in Nigeria and that the city of Qinhuangdao is in China.,1,The city of Ilorin is in Nigeria.,1,Ilorin,Nigeria,Nigeria,The city of Qinhuangdao is in China.,1,Qinhuangdao,China,China
It is the case both that the city of Amman is in Jordan and that the city of Nyala is in Sudan.,1,The city of Amman is in Jordan.,1,Amman,Jordan,Jordan,The city of Nyala is in Sudan.,1,Nyala,"Sudan, The Republic of","Sudan, The Republic of"
It is the case both that the city of Santiago de Cuba is in Cuba and that the city of Buraydah is in Saudi Arabia.,1,The city of Santiago de Cuba is in Cuba.,1,Santiago de Cuba,Cuba,Cuba,The city of Buraydah is in Saudi Arabia.,1,Buraydah,Saudi Arabia,Saudi Arabia
It is the case both that the city of Dombivli is in India and that the city of Hamadan is in Iran.,1,The city of Dombivli is in India.,1,Dombivli,India,India,The city of Hamadan is in Iran.,1,Hamadan,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Esenler is in Turkey and that the city of Weinan is in China.,1,The city of Esenler is in Turkey.,1,Esenler,Turkey,Turkey,The city of Weinan is in China.,1,Weinan,China,China
It is the case both that the city of Queens is in the United States and that the city of Wanxian is in China.,1,The city of Queens is in the United States.,1,Queens,United States,United States,The city of Wanxian is in China.,1,Wanxian,China,China
It is the case both that the city of Khulna is in Bangladesh and that the city of Marseille is in France.,1,The city of Khulna is in Bangladesh.,1,Khulna,Bangladesh,Bangladesh,The city of Marseille is in France.,1,Marseille,France,France
It is the case both that the city of Zhengzhou is in China and that the city of Jiangmen is in China.,1,The city of Zhengzhou is in China.,1,Zhengzhou,China,China,The city of Jiangmen is in China.,1,Jiangmen,China,China
It is the case both that the city of Sokoto is in Nigeria and that the city of Wanzhou is in China.,1,The city of Sokoto is in Nigeria.,1,Sokoto,Nigeria,Nigeria,The city of Wanzhou is in China.,1,Wanzhou,China,China
It is the case both that the city of Abidjan is in Côte d'Ivoire and that the city of Homyel' is in Belarus.,1,The city of Abidjan is in Côte d'Ivoire.,1,Abidjan,Côte d'Ivoire,Côte d'Ivoire,The city of Homyel' is in Belarus.,1,Homyel',Belarus,Belarus
It is the case both that the city of Anyang-si is in South Korea and that the city of Vijayawada is in India.,1,The city of Anyang-si is in South Korea.,1,Anyang-si,"Korea, Republic of","Korea, Republic of",The city of Vijayawada is in India.,1,Vijayawada,India,India
It is the case both that the city of Hanoi is in Vietnam and that the city of Chennai is in India.,1,The city of Hanoi is in Vietnam.,1,Hanoi,Viet Nam,Viet Nam,The city of Chennai is in India.,1,Chennai,India,India
It is the case both that the city of Sao Bernardo do Campo is in Brazil and that the city of Yekaterinburg is in Russia.,1,The city of Sao Bernardo do Campo is in Brazil.,1,Sao Bernardo do Campo,Brazil,Brazil,The city of Yekaterinburg is in Russia.,1,Yekaterinburg,Russian Federation,Russian Federation
It is the case both that the city of Quzhou is in China and that the city of Nairobi is in Kenya.,1,The city of Quzhou is in China.,1,Quzhou,China,China,The city of Nairobi is in Kenya.,1,Nairobi,Kenya,Kenya
It is the case both that the city of Sharjah is in the United Arab Emirates and that the city of Guankou is in China.,1,The city of Sharjah is in the United Arab Emirates.,1,Sharjah,United Arab Emirates,United Arab Emirates,The city of Guankou is in China.,1,Guankou,China,China
It is the case both that the city of Turin is in Italy and that the city of Mogadishu is in Somalia.,1,The city of Turin is in Italy.,1,Turin,Italy,Italy,The city of Mogadishu is in Somalia.,1,Mogadishu,Somalia,Somalia
It is the case both that the city of Fort Worth is in the United States and that the city of Ciudad Nezahualcoyotl is in Mexico.,1,The city of Fort Worth is in the United States.,1,Fort Worth,United States,United States,The city of Ciudad Nezahualcoyotl is in Mexico.,1,Ciudad Nezahualcoyotl,Mexico,Mexico
It is the case both that the city of Ahvaz is in Iran and that the city of Tianjin is in China.,1,The city of Ahvaz is in Iran.,1,Ahvaz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Tianjin is in China.,1,Tianjin,China,China
It is the case both that the city of Xining is in China and that the city of Yekaterinburg is in Russia.,1,The city of Xining is in China.,1,Xining,China,China,The city of Yekaterinburg is in Russia.,1,Yekaterinburg,Russian Federation,Russian Federation
It is the case both that the city of Porto Velho is in Brazil and that the city of Asansol is in India.,1,The city of Porto Velho is in Brazil.,1,Porto Velho,Brazil,Brazil,The city of Asansol is in India.,1,Asansol,India,India
It is the case both that the city of Chuzhou is in China and that the city of Albuquerque is in the United States.,1,The city of Chuzhou is in China.,1,Chuzhou,China,China,The city of Albuquerque is in the United States.,1,Albuquerque,United States,United States
It is the case both that the city of Anyang is in China and that the city of Harare is in Zimbabwe.,1,The city of Anyang is in China.,1,Anyang,China,China,The city of Harare is in Zimbabwe.,1,Harare,Zimbabwe,Zimbabwe
It is the case both that the city of Caracas is in Venezuela and that the city of Krasnoyarsk is in Russia.,1,The city of Caracas is in Venezuela.,1,Caracas,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of",The city of Krasnoyarsk is in Russia.,1,Krasnoyarsk,Russian Federation,Russian Federation
It is the case both that the city of Jiaozhou is in China and that the city of Tiruppur is in India.,1,The city of Jiaozhou is in China.,1,Jiaozhou,China,China,The city of Tiruppur is in India.,1,Tiruppur,India,India
It is the case both that the city of Panzhihua is in China and that the city of Mbuji-Mayi is in the Democratic Republic of the Congo.,1,The city of Panzhihua is in China.,1,Panzhihua,China,China,The city of Mbuji-Mayi is in the Democratic Republic of the Congo.,1,Mbuji-Mayi,"Congo, Democratic Republic of the","Congo, Democratic Republic of the"
It is the case both that the city of Barnaul is in Russia and that the city of Al Basrah al Qadimah is in Iraq.,1,The city of Barnaul is in Russia.,1,Barnaul,Russian Federation,Russian Federation,The city of Al Basrah al Qadimah is in Iraq.,1,Al Basrah al Qadimah,Iraq,Iraq
It is the case both that the city of Nairobi is in Kenya and that the city of Thane is in India.,1,The city of Nairobi is in Kenya.,1,Nairobi,Kenya,Kenya,The city of Thane is in India.,1,Thane,India,India
It is the case both that the city of Khabarovsk is in Russia and that the city of Duque de Caxias is in Brazil.,1,The city of Khabarovsk is in Russia.,1,Khabarovsk,Russian Federation,Russian Federation,The city of Duque de Caxias is in Brazil.,1,Duque de Caxias,Brazil,Brazil
It is the case both that the city of Phnom Penh is in Cambodia and that the city of Urumqi is in China.,1,The city of Phnom Penh is in Cambodia.,1,Phnom Penh,Cambodia,Cambodia,The city of Urumqi is in China.,1,Urumqi,China,China
It is the case both that the city of Irkutsk is in Russia and that the city of Ulan Bator is in Mongolia.,1,The city of Irkutsk is in Russia.,1,Irkutsk,Russian Federation,Russian Federation,The city of Ulan Bator is in Mongolia.,1,Ulan Bator,Mongolia,Mongolia
It is the case both that the city of Zhanjiang is in China and that the city of Pretoria is in South Africa.,1,The city of Zhanjiang is in China.,1,Zhanjiang,China,China,The city of Pretoria is in South Africa.,1,Pretoria,South Africa,South Africa
It is the case both that the city of Curitiba is in Brazil and that the city of Semarang is in Indonesia.,1,The city of Curitiba is in Brazil.,1,Curitiba,Brazil,Brazil,The city of Semarang is in Indonesia.,1,Semarang,Indonesia,Indonesia
It is the case both that the city of Tabriz is in Iran and that the city of Kashgar is in China.,1,The city of Tabriz is in Iran.,1,Tabriz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Kashgar is in China.,1,Kashgar,China,China
It is the case both that the city of Sao Jose dos Campos is in Brazil and that the city of Ho Chi Minh City is in Vietnam.,1,The city of Sao Jose dos Campos is in Brazil.,1,Sao Jose dos Campos,Brazil,Brazil,The city of Ho Chi Minh City is in Vietnam.,1,Ho Chi Minh City,Viet Nam,Viet Nam
It is the case both that the city of Shymkent is in Kazakhstan and that the city of Pyongyang is in North Korea.,1,The city of Shymkent is in Kazakhstan.,1,Shymkent,Kazakhstan,Kazakhstan,The city of Pyongyang is in North Korea.,1,Pyongyang,"Korea, Dem. People's Rep. of","Korea, Dem. People's Rep. of"
It is the case both that the city of Omsk is in Russia and that the city of Thiruvananthapuram is in India.,1,The city of Omsk is in Russia.,1,Omsk,Russian Federation,Russian Federation,The city of Thiruvananthapuram is in India.,1,Thiruvananthapuram,India,India
It is the case both that the city of Huaibei is in China and that the city of Victoria de Durango is in Mexico.,1,The city of Huaibei is in China.,1,Huaibei,China,China,The city of Victoria de Durango is in Mexico.,1,Victoria de Durango,Mexico,Mexico
It is the case both that the city of Wanning is in China and that the city of Torreon is in Mexico.,1,The city of Wanning is in China.,1,Wanning,China,China,The city of Torreon is in Mexico.,1,Torreon,Mexico,Mexico
It is the case both that the city of Hanzhong is in China and that the city of Batam is in Indonesia.,1,The city of Hanzhong is in China.,1,Hanzhong,China,China,The city of Batam is in Indonesia.,1,Batam,Indonesia,Indonesia
It is the case both that the city of Ta'if is in Saudi Arabia and that the city of Tiruchirappalli is in India.,1,The city of Ta'if is in Saudi Arabia.,1,Ta'if,Saudi Arabia,Saudi Arabia,The city of Tiruchirappalli is in India.,1,Tiruchirappalli,India,India
It is the case both that the city of Goyang-si is in South Korea and that the city of Mississauga is in Canada.,1,The city of Goyang-si is in South Korea.,1,Goyang-si,"Korea, Republic of","Korea, Republic of",The city of Mississauga is in Canada.,1,Mississauga,Canada,Canada
It is the case both that the city of Zhangjiakou is in China and that the city of Rajshahi is in Bangladesh.,1,The city of Zhangjiakou is in China.,1,Zhangjiakou,China,China,The city of Rajshahi is in Bangladesh.,1,Rajshahi,Bangladesh,Bangladesh
It is the case both that the city of Theni is in India and that the city of Aleppo is in Syria.,1,The city of Theni is in India.,1,Theni,India,India,The city of Aleppo is in Syria.,1,Aleppo,Syrian Arab Republic,Syrian Arab Republic
It is the case both that the city of Ulhasnagar is in India and that the city of Maiduguri is in Nigeria.,1,The city of Ulhasnagar is in India.,1,Ulhasnagar,India,India,The city of Maiduguri is in Nigeria.,1,Maiduguri,Nigeria,Nigeria
It is the case both that the city of Zhenjiang is in China and that the city of Surat is in India.,1,The city of Zhenjiang is in China.,1,Zhenjiang,China,China,The city of Surat is in India.,1,Surat,India,India
It is the case both that the city of Surat is in India and that the city of Jaipur is in India.,1,The city of Surat is in India.,1,Surat,India,India,The city of Jaipur is in India.,1,Jaipur,India,India
It is the case both that the city of Huaibei is in China and that the city of Taicang is in China.,1,The city of Huaibei is in China.,1,Huaibei,China,China,The city of Taicang is in China.,1,Taicang,China,China
It is the case both that the city of Shuangyashan is in China and that the city of Aracaju is in Brazil.,1,The city of Shuangyashan is in China.,1,Shuangyashan,China,China,The city of Aracaju is in Brazil.,1,Aracaju,Brazil,Brazil
It is the case both that the city of Zhumadian is in China and that the city of Wanxian is in China.,1,The city of Zhumadian is in China.,1,Zhumadian,China,China,The city of Wanxian is in China.,1,Wanxian,China,China
It is the case both that the city of Riga is in Latvia and that the city of Asuncion is in Paraguay.,1,The city of Riga is in Latvia.,1,Riga,Latvia,Latvia,The city of Asuncion is in Paraguay.,1,Asuncion,Paraguay,Paraguay
It is the case both that the city of Thiruvananthapuram is in India and that the city of Ciudad Guayana is in Venezuela.,1,The city of Thiruvananthapuram is in India.,1,Thiruvananthapuram,India,India,The city of Ciudad Guayana is in Venezuela.,1,Ciudad Guayana,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of"
It is the case both that the city of Dandong is in China and that the city of Yunfu is in China.,1,The city of Dandong is in China.,1,Dandong,China,China,The city of Yunfu is in China.,1,Yunfu,China,China
It is the case both that the city of Bengaluru is in India and that the city of Hangzhou is in China.,1,The city of Bengaluru is in India.,1,Bengaluru,India,India,The city of Hangzhou is in China.,1,Hangzhou,China,China
It is the case both that the city of Mandalay is in Myanmar and that the city of Shubra al Khaymah is in Egypt.,1,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,The city of Shubra al Khaymah is in Egypt.,1,Shubra al Khaymah,Egypt,Egypt
It is the case both that the city of Ansan-si is in South Korea and that the city of Panzhihua is in China.,1,The city of Ansan-si is in South Korea.,1,Ansan-si,"Korea, Republic of","Korea, Republic of",The city of Panzhihua is in China.,1,Panzhihua,China,China
It is the case both that the city of Warangal is in India and that the city of Fort Worth is in the United States.,1,The city of Warangal is in India.,1,Warangal,India,India,The city of Fort Worth is in the United States.,1,Fort Worth,United States,United States
It is the case both that the city of Macapa is in Brazil and that the city of Kumamoto is in Japan.,1,The city of Macapa is in Brazil.,1,Macapa,Brazil,Brazil,The city of Kumamoto is in Japan.,1,Kumamoto,Japan,Japan
It is the case both that the city of Sao Bernardo do Campo is in Brazil and that the city of Nay Pyi Taw is in Myanmar.,1,The city of Sao Bernardo do Campo is in Brazil.,1,Sao Bernardo do Campo,Brazil,Brazil,The city of Nay Pyi Taw is in Myanmar.,1,Nay Pyi Taw,Myanmar,Myanmar
It is the case both that the city of Jeddah is in Saudi Arabia and that the city of Khabarovsk Vtoroy is in Russia.,1,The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia,The city of Khabarovsk Vtoroy is in Russia.,1,Khabarovsk Vtoroy,Russian Federation,Russian Federation
It is the case both that the city of Mersin is in Turkey and that the city of Suining is in China.,1,The city of Mersin is in Turkey.,1,Mersin,Turkey,Turkey,The city of Suining is in China.,1,Suining,China,China
It is the case both that the city of Kisangani is in the Democratic Republic of the Congo and that the city of Rawalpindi is in Pakistan.,1,The city of Kisangani is in the Democratic Republic of the Congo.,1,Kisangani,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",The city of Rawalpindi is in Pakistan.,1,Rawalpindi,Pakistan,Pakistan
It is the case both that the city of Hamadan is in Iran and that the city of Himeji is in Japan.,1,The city of Hamadan is in Iran.,1,Hamadan,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Himeji is in Japan.,1,Himeji,Japan,Japan
It is the case both that the city of Naberezhnyye Chelny is in Russia and that the city of Yangon is in Myanmar.,1,The city of Naberezhnyye Chelny is in Russia.,1,Naberezhnyye Chelny,Russian Federation,Russian Federation,The city of Yangon is in Myanmar.,1,Yangon,Myanmar,Myanmar
It is the case both that the city of Yiwu is in China and that the city of Barnaul is in Russia.,1,The city of Yiwu is in China.,1,Yiwu,China,China,The city of Barnaul is in Russia.,1,Barnaul,Russian Federation,Russian Federation
It is the case both that the city of Naucalpan de Juarez is in Mexico and that the city of Kakamega is in Kenya.,1,The city of Naucalpan de Juarez is in Mexico.,1,Naucalpan de Juarez,Mexico,Mexico,The city of Kakamega is in Kenya.,1,Kakamega,Kenya,Kenya
It is the case both that the city of Tangshan is in China and that the city of Bujumbura is in Burundi.,1,The city of Tangshan is in China.,1,Tangshan,China,China,The city of Bujumbura is in Burundi.,1,Bujumbura,Burundi,Burundi
It is the case both that the city of N'Djamena is in Chad and that the city of Kunming is in China.,1,The city of N'Djamena is in Chad.,1,N'Djamena,Chad,Chad,The city of Kunming is in China.,1,Kunming,China,China
It is the case both that the city of Abu Ghurayb is in Iraq and that the city of San Luis Potosi is in Mexico.,1,The city of Abu Ghurayb is in Iraq.,1,Abu Ghurayb,Iraq,Iraq,The city of San Luis Potosi is in Mexico.,1,San Luis Potosi,Mexico,Mexico
It is the case both that the city of Queens is in the United States and that the city of Beijing is in China.,1,The city of Queens is in the United States.,1,Queens,United States,United States,The city of Beijing is in China.,1,Beijing,China,China
It is the case both that the city of Omdurman is in Sudan and that the city of Tijuana is in Mexico.,1,The city of Omdurman is in Sudan.,1,Omdurman,"Sudan, The Republic of","Sudan, The Republic of",The city of Tijuana is in Mexico.,1,Tijuana,Mexico,Mexico
It is the case both that the city of San Luis Potosi is in Mexico and that the city of Shah Alam is in Malaysia.,1,The city of San Luis Potosi is in Mexico.,1,San Luis Potosi,Mexico,Mexico,The city of Shah Alam is in Malaysia.,1,Shah Alam,Malaysia,Malaysia
It is the case both that the city of Bareilly is in India and that the city of Coyoacan is in Mexico.,1,The city of Bareilly is in India.,1,Bareilly,India,India,The city of Coyoacan is in Mexico.,1,Coyoacan,Mexico,Mexico
It is the case both that the city of Wanzhou is in China and that the city of Zapopan is in Mexico.,1,The city of Wanzhou is in China.,1,Wanzhou,China,China,The city of Zapopan is in Mexico.,1,Zapopan,Mexico,Mexico
It is the case both that the city of Bauchi is in Nigeria and that the city of Torreon is in Mexico.,1,The city of Bauchi is in Nigeria.,1,Bauchi,Nigeria,Nigeria,The city of Torreon is in Mexico.,1,Torreon,Mexico,Mexico
It is the case both that the city of Shenzhen is in China and that the city of Al Mawsil al Jadidah is in Iraq.,1,The city of Shenzhen is in China.,1,Shenzhen,China,China,The city of Al Mawsil al Jadidah is in Iraq.,1,Al Mawsil al Jadidah,Iraq,Iraq
It is the case both that the city of Namangan is in Uzbekistan and that the city of Tonghua is in China.,1,The city of Namangan is in Uzbekistan.,1,Namangan,Uzbekistan,Uzbekistan,The city of Tonghua is in China.,1,Tonghua,China,China
It is the case both that the city of Homyel' is in Belarus and that the city of Seoul is in South Korea.,1,The city of Homyel' is in Belarus.,1,Homyel',Belarus,Belarus,The city of Seoul is in South Korea.,1,Seoul,"Korea, Republic of","Korea, Republic of"
It is the case both that the city of Bucheon-si is in South Korea and that the city of Poznan is in Poland.,1,The city of Bucheon-si is in South Korea.,1,Bucheon-si,"Korea, Republic of","Korea, Republic of",The city of Poznan is in Poland.,1,Poznan,Poland,Poland
It is the case both that the city of Antananarivo is in Madagascar and that the city of Pune is in India.,1,The city of Antananarivo is in Madagascar.,1,Antananarivo,Madagascar,Madagascar,The city of Pune is in India.,1,Pune,India,India
It is the case both that the city of Tokyo is in Japan and that the city of Cimahi is in Indonesia.,1,The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,The city of Cimahi is in Indonesia.,1,Cimahi,Indonesia,Indonesia
It is the case both that the city of Sao Bernardo do Campo is in Brazil and that the city of Hachioji is in Japan.,1,The city of Sao Bernardo do Campo is in Brazil.,1,Sao Bernardo do Campo,Brazil,Brazil,The city of Hachioji is in Japan.,1,Hachioji,Japan,Japan
It is the case both that the city of Dongying is in China and that the city of Jeddah is in Saudi Arabia.,1,The city of Dongying is in China.,1,Dongying,China,China,The city of Jeddah is in Saudi Arabia.,1,Jeddah,Saudi Arabia,Saudi Arabia
It is the case both that the city of Sevastopol is in Ukraine and that the city of Hamadan is in Iran.,1,The city of Sevastopol is in Ukraine.,1,Sevastopol,Ukraine,Ukraine,The city of Hamadan is in Iran.,1,Hamadan,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Fes is in Morocco and that the city of Binzhou is in China.,1,The city of Fes is in Morocco.,1,Fes,Morocco,Morocco,The city of Binzhou is in China.,1,Binzhou,China,China
It is the case both that the city of Foshan is in China and that the city of Zhangye is in China.,1,The city of Foshan is in China.,1,Foshan,China,China,The city of Zhangye is in China.,1,Zhangye,China,China
It is the case both that the city of Ibadan is in Nigeria and that the city of Homs is in Syria.,1,The city of Ibadan is in Nigeria.,1,Ibadan,Nigeria,Nigeria,The city of Homs is in Syria.,1,Homs,Syrian Arab Republic,Syrian Arab Republic
It is the case both that the city of Langfang is in China and that the city of Xinyang is in China.,1,The city of Langfang is in China.,1,Langfang,China,China,The city of Xinyang is in China.,1,Xinyang,China,China
It is the case both that the city of Kunshan is in China and that the city of Albuquerque is in the United States.,1,The city of Kunshan is in China.,1,Kunshan,China,China,The city of Albuquerque is in the United States.,1,Albuquerque,United States,United States
It is the case both that the city of Abidjan is in Côte d'Ivoire and that the city of Guang'an is in China.,1,The city of Abidjan is in Côte d'Ivoire.,1,Abidjan,Côte d'Ivoire,Côte d'Ivoire,The city of Guang'an is in China.,1,Guang'an,China,China
It is the case both that the city of San Miguel de Tucuman is in Argentina and that the city of Mysore is in India.,1,The city of San Miguel de Tucuman is in Argentina.,1,San Miguel de Tucuman,Argentina,Argentina,The city of Mysore is in India.,1,Mysore,India,India
It is the case both that the city of Kampung Baru Subang is in Malaysia and that the city of Baotou is in China.,1,The city of Kampung Baru Subang is in Malaysia.,1,Kampung Baru Subang,Malaysia,Malaysia,The city of Baotou is in China.,1,Baotou,China,China
It is the case both that the city of Denpasar is in Indonesia and that the city of Al Fayyum is in Egypt.,1,The city of Denpasar is in Indonesia.,1,Denpasar,Indonesia,Indonesia,The city of Al Fayyum is in Egypt.,1,Al Fayyum,Egypt,Egypt
It is the case both that the city of Bucheon-si is in South Korea and that the city of Al Ain City is in the United Arab Emirates.,1,The city of Bucheon-si is in South Korea.,1,Bucheon-si,"Korea, Republic of","Korea, Republic of",The city of Al Ain City is in the United Arab Emirates.,1,Al Ain City,United Arab Emirates,United Arab Emirates
It is the case both that the city of Daqing is in China and that the city of Jiaozhou is in China.,1,The city of Daqing is in China.,1,Daqing,China,China,The city of Jiaozhou is in China.,1,Jiaozhou,China,China
It is the case both that the city of Frankfurt am Main is in Germany and that the city of Ashgabat is in Turkmenistan.,1,The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany,The city of Ashgabat is in Turkmenistan.,1,Ashgabat,Turkmenistan,Turkmenistan
It is the case both that the city of Brazzaville is in the Republic of the Congo and that the city of South Tangerang is in Indonesia.,1,The city of Brazzaville is in the Republic of the Congo.,1,Brazzaville,Congo,Congo,The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia
It is the case both that the city of Matsuyama is in Japan and that the city of Kano is in Nigeria.,1,The city of Matsuyama is in Japan.,1,Matsuyama,Japan,Japan,The city of Kano is in Nigeria.,1,Kano,Nigeria,Nigeria
It is the case both that the city of Shangrao is in China and that the city of Goeteborg is in Sweden.,1,The city of Shangrao is in China.,1,Shangrao,China,China,The city of Goeteborg is in Sweden.,1,Goeteborg,Sweden,Sweden
