statement,label,relation,subject,target,true_target
Andrei Bitov writes in Russian.,1,{} writes in,Andrei Bitov,Russian,Russian
Andrei Bitov writes in Italian.,0,{} writes in,Andrei Bitov,Italian,Russian
Windows XP Media Center Edition is a product of Microsoft.,1,{} is a product of,Windows XP Media Center Edition,Microsoft,Microsoft
Windows XP Media Center Edition is a product of Apple.,0,{} is a product of,Windows XP Media Center Edition,Apple,Microsoft
The capital of Mandatory Palestine is Jerusalem.,1,The capital of {} is,Mandatory Palestine,Jerusalem,Jerusalem
The capital of Mandatory Palestine is Oslo.,0,The capital of {} is,Mandatory Palestine,Oslo,Jerusalem
Kenny Rogers was born in Houston.,1,{} was born in,Kenny Rogers,Houston,Houston
Kenny Rogers was born in Detroit.,0,{} was born in,Kenny Rogers,Detroit,Houston
The genre played by Theodosii Spassov is jazz.,1,The genre played by {} is,Theodosii Spassov,jazz,jazz
The genre played by Theodosii Spassov is fantasy.,0,The genre played by {} is,Theodosii Spassov,fantasy,jazz
Farinelli originates from Naples.,1,{} originates from,Farinelli,Naples,Naples
Farinelli originates from Montreal.,0,{} originates from,Farinelli,Montreal,Naples
Vietnam Film Festival is located in Vietnam.,1,{} is located in,Vietnam Film Festival,Vietnam,Vietnam
Vietnam Film Festival is located in Moscow.,0,{} is located in,Vietnam Film Festival,Moscow,Vietnam
Paolo Bertoli is a citizen of Italy.,1,{} is a citizen of,Paolo Bertoli,Italy,Italy
Paolo Bertoli is a citizen of Laos.,0,{} is a citizen of,Paolo Bertoli,Laos,Italy
"In Sotkamo, the language spoken is Finnish.",1,"In {}, the language spoken is",Sotkamo,Finnish,Finnish
"In Sotkamo, the language spoken is Portuguese.",0,"In {}, the language spoken is",Sotkamo,Portuguese,Finnish
Dominic Purcell holds a citizenship from Australia.,1,{} holds a citizenship from,Dominic Purcell,Australia,Australia
Dominic Purcell holds a citizenship from Sweden.,0,{} holds a citizenship from,Dominic Purcell,Sweden,Australia
James Franck's area of work is physics.,1,{}'s area of work is,James Franck,physics,physics
James Franck's area of work is ecology.,0,{}'s area of work is,James Franck,ecology,physics
Toyota HiAce is created by Toyota.,1,{} is created by,Toyota HiAce,Toyota,Toyota
Toyota HiAce is created by Cadillac.,0,{} is created by,Toyota HiAce,Cadillac,Toyota
Centre Pierre Charbonneau is located in Montreal.,1,{} is located in,Centre Pierre Charbonneau,Montreal,Montreal
Centre Pierre Charbonneau is located in England.,0,{} is located in,Centre Pierre Charbonneau,England,Montreal
Matthew Tuck plays guitar.,1,{} plays,Matthew Tuck,guitar,guitar
Matthew Tuck plays piano.,0,{} plays,Matthew Tuck,piano,guitar
Astley Cooper died in the city of London.,1,{} died in the city of,Astley Cooper,London,London
Astley Cooper died in the city of Dresden.,0,{} died in the city of,Astley Cooper,Dresden,London
Ramon Magsaysay holds a citizenship from Philippines.,1,{} holds a citizenship from,Ramon Magsaysay,Philippines,Philippines
Ramon Magsaysay holds a citizenship from Sweden.,0,{} holds a citizenship from,Ramon Magsaysay,Sweden,Philippines
Albert Richardson is native to London.,1,{} is native to,Albert Richardson,London,London
Albert Richardson is native to Croatia.,0,{} is native to,Albert Richardson,Croatia,London
Freaks and Geeks premieres on NBC.,1,{} premieres on,Freaks and Geeks,NBC,NBC
Freaks and Geeks premieres on TNT.,0,{} premieres on,Freaks and Geeks,TNT,NBC
Toyota Etios is created by Toyota.,1,{} is created by,Toyota Etios,Toyota,Toyota
Toyota Etios is created by Dodge.,0,{} is created by,Toyota Etios,Dodge,Toyota
Peter Parler died in the city of Prague.,1,{} died in the city of,Peter Parler,Prague,Prague
Peter Parler died in the city of Vancouver.,0,{} died in the city of,Peter Parler,Vancouver,Prague
Oscar Charleston died at Philadelphia.,1,{} died at,Oscar Charleston,Philadelphia,Philadelphia
Oscar Charleston died at London.,0,{} died at,Oscar Charleston,London,Philadelphia
The occupation of Hilaire Belloc is journalist.,1,The occupation of {} is,Hilaire Belloc,journalist,journalist
The occupation of Hilaire Belloc is architect.,0,The occupation of {} is,Hilaire Belloc,architect,journalist
Wolfgang Niedecken found employment in Cologne.,1,{} found employment in,Wolfgang Niedecken,Cologne,Cologne
Wolfgang Niedecken found employment in Paris.,0,{} found employment in,Wolfgang Niedecken,Paris,Cologne
Essanay Studios was formed in Chicago.,1,{} was formed in,Essanay Studios,Chicago,Chicago
Essanay Studios was formed in Dallas.,0,{} was formed in,Essanay Studios,Dallas,Chicago
The Flying Dutchman was written in German.,1,{} was written in,The Flying Dutchman,German,German
The Flying Dutchman was written in Finnish.,0,{} was written in,The Flying Dutchman,Finnish,German
Ion Cristoiu speaks the language Romanian.,1,{} speaks the language,Ion Cristoiu,Romanian,Romanian
Ion Cristoiu speaks the language French.,0,{} speaks the language,Ion Cristoiu,French,Romanian
The domain of activity of Leonhard Euler is astronomy.,1,The domain of activity of {} is,Leonhard Euler,astronomy,astronomy
The domain of activity of Leonhard Euler is opera.,0,The domain of activity of {} is,Leonhard Euler,opera,astronomy
Bob Rusch plays jazz.,1,{} plays,Bob Rusch,jazz,jazz
Bob Rusch plays opera.,0,{} plays,Bob Rusch,opera,jazz
The Really Wild Show premieres on BBC.,1,{} premieres on,The Really Wild Show,BBC,BBC
The Really Wild Show premieres on MTV.,0,{} premieres on,The Really Wild Show,MTV,BBC
Escada SE originated in Munich.,1,{} originated in,Escada SE,Munich,Munich
Escada SE originated in Glasgow.,0,{} originated in,Escada SE,Glasgow,Munich
Scotland Today was created in the country of Scotland.,1,{} was created in the country of,Scotland Today,Scotland,Scotland
Scotland Today was created in the country of Japan.,0,{} was created in the country of,Scotland Today,Japan,Scotland
Grossman Nunataks is a part of the continent of Antarctica.,1,{} is a part of the continent of,Grossman Nunataks,Antarctica,Antarctica
Grossman Nunataks is a part of the continent of Asia.,0,{} is a part of the continent of,Grossman Nunataks,Asia,Antarctica
Antonio Ozores Puchol's life ended in Madrid.,1,{}'s life ended in,Antonio Ozores Puchol,Madrid,Madrid
Antonio Ozores Puchol's life ended in Derby.,0,{}'s life ended in,Antonio Ozores Puchol,Derby,Madrid
Growing Up Fisher was originally aired on NBC.,1,{} was originally aired on,Growing Up Fisher,NBC,NBC
Growing Up Fisher was originally aired on MTV.,0,{} was originally aired on,Growing Up Fisher,MTV,NBC
2015 WTA Finals can be found in Singapore.,1,{} can be found in,2015 WTA Finals,Singapore,Singapore
2015 WTA Finals can be found in Miami.,0,{} can be found in,2015 WTA Finals,Miami,Singapore
Michael Hutchence speaks English.,1,{} speaks,Michael Hutchence,English,English
Michael Hutchence speaks Greek.,0,{} speaks,Michael Hutchence,Greek,English
Pillsbury A Mill is located in Minneapolis.,1,{} is located in,Pillsbury A Mill,Minneapolis,Minneapolis
Pillsbury A Mill is located in Austin.,0,{} is located in,Pillsbury A Mill,Austin,Minneapolis
Armenians in Turkey has a citizenship from Turkey.,1,{} has a citizenship from,Armenians in Turkey,Turkey,Turkey
Armenians in Turkey has a citizenship from Netherlands.,0,{} has a citizenship from,Armenians in Turkey,Netherlands,Turkey
The law in Jakobstad declares the language Swedish.,1,The law in {} declares the language,Jakobstad,Swedish,Swedish
The law in Jakobstad declares the language English.,0,The law in {} declares the language,Jakobstad,English,Swedish
John Stofa plays in the position of quarterback.,1,{} plays in the position of,John Stofa,quarterback,quarterback
John Stofa plays in the position of midfielder.,0,{} plays in the position of,John Stofa,midfielder,quarterback
Oates Land belongs to the continent of Antarctica.,1,{} belongs to the continent of,Oates Land,Antarctica,Antarctica
Oates Land belongs to the continent of Europe.,0,{} belongs to the continent of,Oates Land,Europe,Antarctica
Benin belongs to the continent of Africa.,1,{} belongs to the continent of,Benin,Africa,Africa
Benin belongs to the continent of Europe.,0,{} belongs to the continent of,Benin,Europe,Africa
Honda FCX is created by Honda.,1,{} is created by,Honda FCX,Honda,Honda
Honda FCX is created by Nintendo.,0,{} is created by,Honda FCX,Nintendo,Honda
Hidden Faces debuted on NBC.,1,{} debuted on,Hidden Faces,NBC,NBC
Hidden Faces debuted on CBS.,0,{} debuted on,Hidden Faces,CBS,NBC
Nicolas Chopin was employed in Warsaw.,1,{} was employed in,Nicolas Chopin,Warsaw,Warsaw
Nicolas Chopin was employed in London.,0,{} was employed in,Nicolas Chopin,London,Warsaw
Gustav Frederik Holm speaks Danish.,1,{} speaks,Gustav Frederik Holm,Danish,Danish
Gustav Frederik Holm speaks French.,0,{} speaks,Gustav Frederik Holm,French,Danish
Amel Bent worked in Paris.,1,{} worked in,Amel Bent,Paris,Paris
Amel Bent worked in Vienna.,0,{} worked in,Amel Bent,Vienna,Paris
Saffery Islands is located in the continent Antarctica.,1,{} is located in the continent,Saffery Islands,Antarctica,Antarctica
Saffery Islands is located in the continent Asia.,0,{} is located in the continent,Saffery Islands,Asia,Antarctica
Evaristo Felice Dall'Abaco passed away at Munich.,1,{} passed away at,Evaristo Felice Dall'Abaco,Munich,Munich
Evaristo Felice Dall'Abaco passed away at London.,0,{} passed away at,Evaristo Felice Dall'Abaco,London,Munich
Francisco Coloane writes in Spanish.,1,{} writes in,Francisco Coloane,Spanish,Spanish
Francisco Coloane writes in English.,0,{} writes in,Francisco Coloane,English,Spanish
The original language of La colombe was French.,1,The original language of {} was,La colombe,French,French
The original language of La colombe was Swedish.,0,The original language of {} was,La colombe,Swedish,French
Howie Morenz plays hockey.,1,{} plays,Howie Morenz,hockey,hockey
Howie Morenz plays baseball.,0,{} plays,Howie Morenz,baseball,hockey
Parvin E'tesami speaks the language Persian.,1,{} speaks the language,Parvin E'tesami,Persian,Persian
Parvin E'tesami speaks the language Italian.,0,{} speaks the language,Parvin E'tesami,Italian,Persian
Everette Lee DeGolyer passed away at Dallas.,1,{} passed away at,Everette Lee DeGolyer,Dallas,Dallas
Everette Lee DeGolyer passed away at Chicago.,0,{} passed away at,Everette Lee DeGolyer,Chicago,Dallas
The mother tongue of Ewa Farna is Polish.,1,The mother tongue of {} is,Ewa Farna,Polish,Polish
The mother tongue of Ewa Farna is French.,0,The mother tongue of {} is,Ewa Farna,French,Polish
The domain of activity of Hugo Kronecker is physiology.,1,The domain of activity of {} is,Hugo Kronecker,physiology,physiology
The domain of activity of Hugo Kronecker is geometry.,0,The domain of activity of {} is,Hugo Kronecker,geometry,physiology
Frederica de Laguna works in the area of anthropology.,1,{} works in the area of,Frederica de Laguna,anthropology,anthropology
Frederica de Laguna works in the area of physics.,0,{} works in the area of,Frederica de Laguna,physics,anthropology
Pomorie Point is located in the continent Antarctica.,1,{} is located in the continent,Pomorie Point,Antarctica,Antarctica
Pomorie Point is located in the continent Africa.,0,{} is located in the continent,Pomorie Point,Africa,Antarctica
Charles Kennedy worked in the city of London.,1,{} worked in the city of,Charles Kennedy,London,London
Charles Kennedy worked in the city of Brisbane.,0,{} worked in the city of,Charles Kennedy,Brisbane,London
Mike Piazza plays in the position of catcher.,1,{} plays in the position of,Mike Piazza,catcher,catcher
Mike Piazza plays in the position of quarterback.,0,{} plays in the position of,Mike Piazza,quarterback,catcher
"In Orbe, the language spoken is French.",1,"In {}, the language spoken is",Orbe,French,French
"In Orbe, the language spoken is Finnish.",0,"In {}, the language spoken is",Orbe,Finnish,French
Mahmud al-Hasan is follower of Islam.,1,{} is follower of,Mahmud al-Hasan,Islam,Islam
Mahmud al-Hasan is follower of Buddhism.,0,{} is follower of,Mahmud al-Hasan,Buddhism,Islam
Atbarah River belongs to the continent of Africa.,1,{} belongs to the continent of,Atbarah River,Africa,Africa
Atbarah River belongs to the continent of Antarctica.,0,{} belongs to the continent of,Atbarah River,Antarctica,Africa
Pedro de la Rosa is a native speaker of Spanish.,1,{} is a native speaker of,Pedro de la Rosa,Spanish,Spanish
Pedro de la Rosa is a native speaker of French.,0,{} is a native speaker of,Pedro de la Rosa,French,Spanish
The mother tongue of Joseph Luns is Dutch.,1,The mother tongue of {} is,Joseph Luns,Dutch,Dutch
The mother tongue of Joseph Luns is French.,0,The mother tongue of {} is,Joseph Luns,French,Dutch
Yota was formulated in Russia.,1,{} was formulated in,Yota,Russia,Russia
Yota was formulated in Poland.,0,{} was formulated in,Yota,Poland,Russia
Gianni Agnelli used to work in Rome.,1,{} used to work in,Gianni Agnelli,Rome,Rome
Gianni Agnelli used to work in London.,0,{} used to work in,Gianni Agnelli,London,Rome
Send More Paramedics originated in Leeds.,1,{} originated in,Send More Paramedics,Leeds,Leeds
Send More Paramedics originated in Columbia.,0,{} originated in,Send More Paramedics,Columbia,Leeds
Darius III is a Shah.,1,{} is a,Darius III,Shah,Shah
Darius III is a bishop.,0,{} is a,Darius III,bishop,Shah
Jamaica's capital city is Kingston.,1,{}'s capital city is,Jamaica,Kingston,Kingston
Jamaica's capital city is Paris.,0,{}'s capital city is,Jamaica,Paris,Kingston
Don Grolnick plays piano.,1,{} plays,Don Grolnick,piano,piano
Don Grolnick plays guitar.,0,{} plays,Don Grolnick,guitar,piano
Massimo Murdocca plays in the position of midfielder.,1,{} plays in the position of,Massimo Murdocca,midfielder,midfielder
Massimo Murdocca plays in the position of pitcher.,0,{} plays in the position of,Massimo Murdocca,pitcher,midfielder
The mother tongue of Giunta Pisano is Italian.,1,The mother tongue of {} is,Giunta Pisano,Italian,Italian
The mother tongue of Giunta Pisano is French.,0,The mother tongue of {} is,Giunta Pisano,French,Italian
National Republican Greek League is located in Greece.,1,{} is located in,National Republican Greek League,Greece,Greece
National Republican Greek League is located in Australia.,0,{} is located in,National Republican Greek League,Australia,Greece
Independent Newspapers is headquartered in Wellington.,1,{} is headquartered in,Independent Newspapers,Wellington,Wellington
Independent Newspapers is headquartered in Rochester.,0,{} is headquartered in,Independent Newspapers,Rochester,Wellington
Yitzhak Ben-Zvi found employment in Jerusalem.,1,{} found employment in,Yitzhak Ben-Zvi,Jerusalem,Jerusalem
Yitzhak Ben-Zvi found employment in Madrid.,0,{} found employment in,Yitzhak Ben-Zvi,Madrid,Jerusalem
The language of Mithya is Hindi.,1,The language of {} is,Mithya,Hindi,Hindi
The language of Mithya is English.,0,The language of {} is,Mithya,English,Hindi
Fatal Flowers formed in Amsterdam.,1,{} formed in,Fatal Flowers,Amsterdam,Amsterdam
Fatal Flowers formed in Tokyo.,0,{} formed in,Fatal Flowers,Tokyo,Amsterdam
The mother tongue of Jean Bruller is French.,1,The mother tongue of {} is,Jean Bruller,French,French
The mother tongue of Jean Bruller is Swedish.,0,The mother tongue of {} is,Jean Bruller,Swedish,French
The Black Donnellys premieres on NBC.,1,{} premieres on,The Black Donnellys,NBC,NBC
The Black Donnellys premieres on MTV.,0,{} premieres on,The Black Donnellys,MTV,NBC
John Joseph Williams holds the title of bishop.,1,{} holds the title of,John Joseph Williams,bishop,bishop
John Joseph Williams holds the title of cardinal.,0,{} holds the title of,John Joseph Williams,cardinal,bishop
"In Friesland, the language spoken is Dutch.",1,"In {}, the language spoken is",Friesland,Dutch,Dutch
"In Friesland, the language spoken is French.",0,"In {}, the language spoken is",Friesland,French,Dutch
Palito Ortega writes in Spanish.,1,{} writes in,Palito Ortega,Spanish,Spanish
Palito Ortega writes in Russian.,0,{} writes in,Palito Ortega,Russian,Spanish
Elizabeth Eastlake writes in English.,1,{} writes in,Elizabeth Eastlake,English,English
Elizabeth Eastlake writes in French.,0,{} writes in,Elizabeth Eastlake,French,English
Sumayyah bint Khayyat is follower of Islam.,1,{} is follower of,Sumayyah bint Khayyat,Islam,Islam
Sumayyah bint Khayyat is follower of Christianity.,0,{} is follower of,Sumayyah bint Khayyat,Christianity,Islam
IBM 2780/3780 is a product of IBM.,1,{} is a product of,IBM 2780/3780,IBM,IBM
IBM 2780/3780 is a product of Nokia.,0,{} is a product of,IBM 2780/3780,Nokia,IBM
The law in Pakistan declares the language English.,1,The law in {} declares the language,Pakistan,English,English
The law in Pakistan declares the language Russian.,0,The law in {} declares the language,Pakistan,Russian,English
Karl Menger's area of work is mathematics.,1,{}'s area of work is,Karl Menger,mathematics,mathematics
Karl Menger's area of work is anthropology.,0,{}'s area of work is,Karl Menger,anthropology,mathematics
The genre played by Zutty Singleton is jazz.,1,The genre played by {} is,Zutty Singleton,jazz,jazz
The genre played by Zutty Singleton is opera.,0,The genre played by {} is,Zutty Singleton,opera,jazz
Boroughmuir High School is located in Edinburgh.,1,{} is located in,Boroughmuir High School,Edinburgh,Edinburgh
Boroughmuir High School is located in Maryland.,0,{} is located in,Boroughmuir High School,Maryland,Edinburgh
"In Switzerland, they understand German.",1,"In {}, they understand",Switzerland,German,German
"In Switzerland, they understand Spanish.",0,"In {}, they understand",Switzerland,Spanish,German
Abdullah ibn Salam's expertise is Judaism.,1,{}'s expertise is,Abdullah ibn Salam,Judaism,Judaism
Abdullah ibn Salam's expertise is psychology.,0,{}'s expertise is,Abdullah ibn Salam,psychology,Judaism
Michael Denis's profession is a poet.,1,{}'s profession is a,Michael Denis,poet,poet
Michael Denis's profession is a model.,0,{}'s profession is a,Michael Denis,model,poet
Tommy Harper plays as outfielder.,1,{} plays as,Tommy Harper,outfielder,outfielder
Tommy Harper plays as midfielder.,0,{} plays as,Tommy Harper,midfielder,outfielder
The law in Uttar Pradesh declares the language Hindi.,1,The law in {} declares the language,Uttar Pradesh,Hindi,Hindi
The law in Uttar Pradesh declares the language Finnish.,0,The law in {} declares the language,Uttar Pradesh,Finnish,Hindi
Federally Administered Tribal Areas is located in Pakistan.,1,{} is located in,Federally Administered Tribal Areas,Pakistan,Pakistan
Federally Administered Tribal Areas is located in Germany.,0,{} is located in,Federally Administered Tribal Areas,Germany,Pakistan
Piet Mondrian found employment in Amsterdam.,1,{} found employment in,Piet Mondrian,Amsterdam,Amsterdam
Piet Mondrian found employment in Dresden.,0,{} found employment in,Piet Mondrian,Dresden,Amsterdam
Jesse McCartney works as actor.,1,{} works as,Jesse McCartney,actor,actor
Jesse McCartney works as novelist.,0,{} works as,Jesse McCartney,novelist,actor
International Trade Centre is headquartered in Geneva.,1,{} is headquartered in,International Trade Centre,Geneva,Geneva
International Trade Centre is headquartered in Georgetown.,0,{} is headquartered in,International Trade Centre,Georgetown,Geneva
"In Uddevalla Municipality, they understand Swedish.",1,"In {}, they understand",Uddevalla Municipality,Swedish,Swedish
"In Uddevalla Municipality, they understand English.",0,"In {}, they understand",Uddevalla Municipality,English,Swedish
Mozambique is a part of the continent of Africa.,1,{} is a part of the continent of,Mozambique,Africa,Africa
Mozambique is a part of the continent of Antarctica.,0,{} is a part of the continent of,Mozambique,Antarctica,Africa
Vincenzo Santopadre is a citizen of Italy.,1,{} is a citizen of,Vincenzo Santopadre,Italy,Italy
Vincenzo Santopadre is a citizen of Cuba.,0,{} is a citizen of,Vincenzo Santopadre,Cuba,Italy
Meet the Press premieres on NBC.,1,{} premieres on,Meet the Press,NBC,NBC
Meet the Press premieres on PBS.,0,{} premieres on,Meet the Press,PBS,NBC
Koke plays as midfielder.,1,{} plays as,Koke,midfielder,midfielder
Koke plays as linebacker.,0,{} plays as,Koke,linebacker,midfielder
The Law Firm debuted on NBC.,1,{} debuted on,The Law Firm,NBC,NBC
The Law Firm debuted on MTV.,0,{} debuted on,The Law Firm,MTV,NBC
Jules Michelet was born in Paris.,1,{} was born in,Jules Michelet,Paris,Paris
Jules Michelet was born in Southampton.,0,{} was born in,Jules Michelet,Southampton,Paris
Julius Lothar Meyer's domain of work is chemistry.,1,{}'s domain of work is,Julius Lothar Meyer,chemistry,chemistry
Julius Lothar Meyer's domain of work is mythology.,0,{}'s domain of work is,Julius Lothar Meyer,mythology,chemistry
Cheyenne Frontier Days is located in Wyoming.,1,{} is located in,Cheyenne Frontier Days,Wyoming,Wyoming
Cheyenne Frontier Days is located in Vancouver.,0,{} is located in,Cheyenne Frontier Days,Vancouver,Wyoming
Marvin David Levy plays opera.,1,{} plays,Marvin David Levy,opera,opera
Marvin David Levy plays jazz.,0,{} plays,Marvin David Levy,jazz,opera
Rennick Glacier is in Antarctica.,1,{} is in,Rennick Glacier,Antarctica,Antarctica
Rennick Glacier is in Africa.,0,{} is in,Rennick Glacier,Africa,Antarctica
The law in Hanko declares the language Finnish.,1,The law in {} declares the language,Hanko,Finnish,Finnish
The law in Hanko declares the language French.,0,The law in {} declares the language,Hanko,French,Finnish
The language of Sesamstraat was Dutch.,1,The language of {} was,Sesamstraat,Dutch,Dutch
The language of Sesamstraat was Swedish.,0,The language of {} was,Sesamstraat,Swedish,Dutch
Sefyu is native to Paris.,1,{} is native to,Sefyu,Paris,Paris
Sefyu is native to Rome.,0,{} is native to,Sefyu,Rome,Paris
Trey Moore is originally from Houston.,1,{} is originally from,Trey Moore,Houston,Houston
Trey Moore is originally from Milan.,0,{} is originally from,Trey Moore,Milan,Houston
"In Canary Islands, the language spoken is Spanish.",1,"In {}, the language spoken is",Canary Islands,Spanish,Spanish
"In Canary Islands, the language spoken is English.",0,"In {}, the language spoken is",Canary Islands,English,Spanish
Giovanni Bassano was employed in Venice.,1,{} was employed in,Giovanni Bassano,Venice,Venice
Giovanni Bassano was employed in Copenhagen.,0,{} was employed in,Giovanni Bassano,Copenhagen,Venice
Shriya Saran speaks the language Hindi.,1,{} speaks the language,Shriya Saran,Hindi,Hindi
Shriya Saran speaks the language French.,0,{} speaks the language,Shriya Saran,French,Hindi
Leo XIII holds the title of pope.,1,{} holds the title of,Leo XIII,pope,pope
Leo XIII holds the title of cardinal.,0,{} holds the title of,Leo XIII,cardinal,pope
Diff'rent Strokes is known for performing sitcom.,1,{} is known for performing,Diff'rent Strokes,sitcom,sitcom
Diff'rent Strokes is known for performing disco.,0,{} is known for performing,Diff'rent Strokes,disco,sitcom
Cezar Florin Ouatu plays piano.,1,{} plays,Cezar Florin Ouatu,piano,piano
Cezar Florin Ouatu plays violin.,0,{} plays,Cezar Florin Ouatu,violin,piano
Tewodros II is a citizen of Ethiopia.,1,{} is a citizen of,Tewodros II,Ethiopia,Ethiopia
Tewodros II is a citizen of Chile.,0,{} is a citizen of,Tewodros II,Chile,Ethiopia
The original language of The Crime of Father Amaro was Spanish.,1,The original language of {} was,The Crime of Father Amaro,Spanish,Spanish
The original language of The Crime of Father Amaro was French.,0,The original language of {} was,The Crime of Father Amaro,French,Spanish
Fred Mascherino performs on the guitar.,1,{} performs on the,Fred Mascherino,guitar,guitar
Fred Mascherino performs on the piano.,0,{} performs on the,Fred Mascherino,piano,guitar
Aleksey Khomyakov is a native speaker of Russian.,1,{} is a native speaker of,Aleksey Khomyakov,Russian,Russian
Aleksey Khomyakov is a native speaker of French.,0,{} is a native speaker of,Aleksey Khomyakov,French,Russian
Arthur Conan Doyle spoke the language English.,1,{} spoke the language,Arthur Conan Doyle,English,English
Arthur Conan Doyle spoke the language Russian.,0,{} spoke the language,Arthur Conan Doyle,Russian,English
Charlotte Corday passed away in Paris.,1,{} passed away in,Charlotte Corday,Paris,Paris
Charlotte Corday passed away in Dallas.,0,{} passed away in,Charlotte Corday,Dallas,Paris
The original language of The Shield was English.,1,The original language of {} was,The Shield,English,English
The original language of The Shield was Tamil.,0,The original language of {} was,The Shield,Tamil,English
Arthur Rubinstein plays the piano.,1,{} plays the,Arthur Rubinstein,piano,piano
Arthur Rubinstein plays the guitar.,0,{} plays the,Arthur Rubinstein,guitar,piano
The official language of Liberia is English.,1,The official language of {} is,Liberia,English,English
The official language of Liberia is Finnish.,0,The official language of {} is,Liberia,Finnish,English
Cari Lekebusch was employed in Stockholm.,1,{} was employed in,Cari Lekebusch,Stockholm,Stockholm
Cari Lekebusch was employed in Rome.,0,{} was employed in,Cari Lekebusch,Rome,Stockholm
The mother tongue of Jean-Jacques Pauvert is French.,1,The mother tongue of {} is,Jean-Jacques Pauvert,French,French
The mother tongue of Jean-Jacques Pauvert is Dutch.,0,The mother tongue of {} is,Jean-Jacques Pauvert,Dutch,French
The language of Teorema is Italian.,1,The language of {} is,Teorema,Italian,Italian
The language of Teorema is French.,0,The language of {} is,Teorema,French,Italian
Antim Peak belongs to the continent of Antarctica.,1,{} belongs to the continent of,Antim Peak,Antarctica,Antarctica
Antim Peak belongs to the continent of Europe.,0,{} belongs to the continent of,Antim Peak,Europe,Antarctica
Gunnar Andreas Berg plays jazz.,1,{} plays,Gunnar Andreas Berg,jazz,jazz
Gunnar Andreas Berg plays opera.,0,{} plays,Gunnar Andreas Berg,opera,jazz
Aeronautical Information Service's area of work is aviation.,1,{}'s area of work is,Aeronautical Information Service,aviation,aviation
Aeronautical Information Service's area of work is medicine.,0,{}'s area of work is,Aeronautical Information Service,medicine,aviation
Marcellin Berthelot died in Paris.,1,{} died in,Marcellin Berthelot,Paris,Paris
Marcellin Berthelot died in Edinburgh.,0,{} died in,Marcellin Berthelot,Edinburgh,Paris
Ali Khamenei is follower of Islam.,1,{} is follower of,Ali Khamenei,Islam,Islam
Ali Khamenei is follower of Judaism.,0,{} is follower of,Ali Khamenei,Judaism,Islam
Eagle Premier is a product of Renault.,1,{} is a product of,Eagle Premier,Renault,Renault
Eagle Premier is a product of Airbus.,0,{} is a product of,Eagle Premier,Airbus,Renault
Warta is a part of the continent of Europe.,1,{} is a part of the continent of,Warta,Europe,Europe
Warta is a part of the continent of Antarctica.,0,{} is a part of the continent of,Warta,Antarctica,Europe
Yuli Gusman took up work in Moscow.,1,{} took up work in,Yuli Gusman,Moscow,Moscow
Yuli Gusman took up work in Berlin.,0,{} took up work in,Yuli Gusman,Berlin,Moscow
Al Schnier plays guitar.,1,{} plays,Al Schnier,guitar,guitar
Al Schnier plays piano.,0,{} plays,Al Schnier,piano,guitar
Grocon formed in Melbourne.,1,{} formed in,Grocon,Melbourne,Melbourne
Grocon formed in Riverside.,0,{} formed in,Grocon,Riverside,Melbourne
Jacques Parizeau succumbed at Montreal.,1,{} succumbed at,Jacques Parizeau,Montreal,Montreal
Jacques Parizeau succumbed at Moscow.,0,{} succumbed at,Jacques Parizeau,Moscow,Montreal
Maria Elena Kiriakou speaks the language Greek.,1,{} speaks the language,Maria Elena Kiriakou,Greek,Greek
Maria Elena Kiriakou speaks the language French.,0,{} speaks the language,Maria Elena Kiriakou,French,Greek
Pierre Le Gros the Younger lost their life at Rome.,1,{} lost their life at,Pierre Le Gros the Younger,Rome,Rome
Pierre Le Gros the Younger lost their life at Paris.,0,{} lost their life at,Pierre Le Gros the Younger,Paris,Rome
Harold Arlen performs jazz.,1,{} performs,Harold Arlen,jazz,jazz
Harold Arlen performs funk.,0,{} performs,Harold Arlen,funk,jazz
The mother tongue of Jean-Claude Brialy is French.,1,The mother tongue of {} is,Jean-Claude Brialy,French,French
The mother tongue of Jean-Claude Brialy is Russian.,0,The mother tongue of {} is,Jean-Claude Brialy,Russian,French
"Mirror, Mirror II was developed in Australia.",1,{} was developed in,"Mirror, Mirror II",Australia,Australia
"Mirror, Mirror II was developed in Romania.",0,{} was developed in,"Mirror, Mirror II",Romania,Australia
Michel Houellebecq is a citizen of France.,1,{} is a citizen of,Michel Houellebecq,France,France
Michel Houellebecq is a citizen of Switzerland.,0,{} is a citizen of,Michel Houellebecq,Switzerland,France
The official religion of sheikh is Islam.,1,The official religion of {} is,sheikh,Islam,Islam
The official religion of sheikh is Buddhism.,0,The official religion of {} is,sheikh,Buddhism,Islam
Jean Schopfer spoke the language French.,1,{} spoke the language,Jean Schopfer,French,French
Jean Schopfer spoke the language Russian.,0,{} spoke the language,Jean Schopfer,Russian,French
Shakib Khan follows the religion of Islam.,1,{} follows the religion of,Shakib Khan,Islam,Islam
Shakib Khan follows the religion of Buddhism.,0,{} follows the religion of,Shakib Khan,Buddhism,Islam
Giorgio Pantano holds a citizenship from Italy.,1,{} holds a citizenship from,Giorgio Pantano,Italy,Italy
Giorgio Pantano holds a citizenship from India.,0,{} holds a citizenship from,Giorgio Pantano,India,Italy
Mihir Bose works for BBC.,1,{} works for,Mihir Bose,BBC,BBC
Mihir Bose works for UNESCO.,0,{} works for,Mihir Bose,UNESCO,BBC
